id	name	rarity	description	requirements	effects
79	A handful of magic gems have been found 	-1	A handful of magic gems have been found in the hot waste.	pop0ok 1|waste 1|heat 2	2d6gems Fire
80	A handful of magic gems have been found 	-1	A handful of magic gems have been found among the old white bones of bold adventurers.	waste 1	2d6gems Death
81	Some mystical gems have been found in a 	-1	Some mystical gems have been found in a deep crevice.	pop0ok 1|waste 1	2d6gems Earth
82	A handful of magic gems have been found 	-1	A handful of magic gems have been found in the swamps.	pop0ok 1|swamp 1	2d6gems Water
83	A handful of magic gems have been found 	-1	A handful of magic gems have been found in corpses floating in the stagnant waters of the swamp.	pop0ok 1|swamp 1	2d6gems Death
84	A renegade wizard was found and staked i	-1	A renegade wizard was found and staked in a bog. His laboratory along with a handful of gems are now yours.	lab 0|swamp 1	lab 1|2d6gems Nature
85	A handful of magic gems have been found 	-1	A handful of magic gems have been found in a grove in the forest.	forest 1	2d6gems Nature
86	A renegade wizard was found and hanged f	-1	A renegade wizard was found and hanged from an oak. His laboratory along with a handful of nature gems are now yours.	lab 0|forest 1	lab 1|2d6gems Nature
87	A spirit was found fettered in the split	-1	A spirit was found fettered in the split trunk of an ancient oak and offered some magic gems in return for its release.	forest 1	2d6gems Nature
88	A handful of magic gems have been found 	-1	A handful of magic gems have been found on a desolate mountaintop.	pop0ok 1|mountain 1	2d6gems Air
89	A handful of magic gems have been found 	-1	A handful of magic gems have been found in an abandoned mine.	mountain 1	2d6gems Earth
90	Copper deposits have been found and a ne	-1	Copper deposits have been found and a new mine is being built.	mountain 1|freesites 1	newsite 68
91	Silver deposits have been found and a ne	-1	Silver deposits have been found and a new mine is being built.	mountain 1|luck 1|freesites 1	newsite 67
92	Gold deposits have been found and a new 	-1	Gold deposits have been found and a new mine is being built.	mountain 1|luck 2|freesites 1	newsite 66
93	Ore deposits have been found and a boost	-1	Ore deposits have been found and a boost in army production is expected.	mountain 1|freesites 1	newsite 69
94	A handful of magic gems were found in th	-1	A handful of magic gems were found in the belly of a dead whale.	pop0ok 1|land 0	2d6gems Water
95	Some magic gems were found in wreck of a	-1	Some magic gems were found in wreck of a sunken ship	pop0ok 1|land 0	2d6gems Death
96	Magical clams were found and harvested f	-1	Magical clams were found and harvested for pearls	land 0	2d6gems Astral
97	A grand festival was held in your honor.	-2	A grand festival was held in your honor. Everyone was celebrating and faith has increased in the province.	temple 1|mydominion 1	incdom 2
98	A celebrant of the faith is preaching ju	-2	A celebrant of the faith is preaching justice and bringing hope to the people.	land 1	nation -2|unrest -100|1com High Priest|10d6units Militia
99	A pilgrim from a distant land has come t	-2	A pilgrim from a distant land has come to witness miracles in your temple.	temple 1|mydominion 3|pop 200|land 1	nation -2|1com Pilgrim
100	A local lord has employed slave labor an	-2	A local lord has employed slave labor and resource production in the province has been greatly improved.		landprod 30
101	The people here have raised a temple in 	-2	The people here have raised a temple in honor of their God.	temple 0|maxunrest 5	temple 1
102	A local lord has built a fortress to def	-2	A local lord has built a fortress to defend his lands from revolting peasants.	fort 0|maxunrest 100|minunrest 10|land 1	fort 1
103	A magic item has been found and transpor	-2	A magic item has been found and transported to the arcane laboratory.	pop0ok 1|maxunrest 50|magic -1	magicitem 3
104	An unknown benefactor donated a gold sta	-2	An unknown benefactor donated a gold statue crafted in your honor to the local temple. It was swiftly melted and stamped into gold coins.	maxunrest 50|order 0|temple 1	gold 750
105	An unknown benefactor donated a gold sta	-2	An unknown benefactor donated a gold statue crafted in your honor to the local temple. Placing it outside the temple has increased faith and order.	maxunrest 50|order 0|temple 1|mydominion 1	incdom 4|decscale2 Turmoil
106	Peasants speak of ill omens and strange 	-2	Peasants speak of ill omens and strange creatures that prowl the forests at night. A handful of death gems have been found in the belly of a goat.	maxunrest 50|pop 10|land 1	3d6gems Death|unrest 25|decscale2 Drain
107	A witch was drowned in the well of a vil	-2	A witch was drowned in the well of a village. Thereafter the water has started glowing in the moonlight. This esoteric substance has been distilled into a large quantity of gems.	pop 10|land 1	4d6gems Water
108	Priests of the temple have found ancient	-2	Priests of the temple have found ancient and forgotten vaults containing rich offerings.	temple 1	gold 500|magicitem 3
109	A gold nugget of legendary size has been	-2	A gold nugget of legendary size has been found and brought to the treasury.		gold 750
110	A peasants goose has laid several eggs o	-2	A peasants goose has laid several eggs of gold! Unfortunately it was killed in an ensuing conflict of ownership. The gold eggs were confiscated by the temple to end the conflict.	land 1|temple 1	gold 500
111	A peasants oyster has produced several g	-2	A peasants oyster has produced several giant pearls! Unfortunately the oyster was smashed in an ensuing conflict of ownership. The pearls were confiscated by the temple to end the conflict.	land 1|temple 1	gold 500
112	Adventurers have plundered the lair of a	-2	Adventurers have plundered the lair of a hideous troll. Their leader has been hanged and all unlawfully acquired goods have been confiscated.	rare 50	gold 1000|magicitem 1
113	The local merchants guild has erected a 	-2	The local merchants guild has erected a glorious temple in your honor. Unfortunately costs were higher than expected and tax money had to be used for the last fittings. Consequently the province has not been able to pay any tax this month.	temple 0|maxunrest 5|pop 50	temple 1|taxboost -100
114	The skull of a legendary mage has been u	-2	The skull of a legendary mage has been unearthed and transported to the lab. [Skull Mentor]	pop0ok 1	magicitem 9
115	A limping man in a black coat has appear	-2	A limping man in a black coat has appeared at the gates of the local stronghold. He offers a deal for any commander willing to sign his contract in blood. [Soul Contract]	turn 20|unique 1	magicitem 9
116	An adventurer returning from ruins deep 	-2	An adventurer returning from ruins deep in the mountains has returned insane, carrying a magical lantern that the lord of the land immediately sent to the treasury. [Lightless Lantern]	unique 3|land 1	magicitem 9
117	An adventurer returning from the deep se	-2	An adventurer returning from the deep seas has returned insane, carrying a magical lantern that the lord of the land immediately sent to the treasury. [Lightless Lantern]	unique 2|land 0	magicitem 9
118	A cunning wizard has donated a magical o	-2	A cunning wizard has donated a magical object to the local lord in return for protection against the superstitious peasantry. It was immediately transported to the treasury.		magicitem 1
119	Much of the recent unrest was probably c	-2	Much of the recent unrest was probably caused by an unpopular local baron. He was executed and wealth including a magic item was confiscated.	minunrest 50	unrest -50|gold 500|magicitem 1
120	The construction of a new ring wall to d	-2	The construction of a new ring wall to defend a major city is complete. People from near and far are gathering to seek comfort and commerce in the city. Tax revenues have been permanently increased.	land 1|pop 500|fort 0|order 1	fort 3|landgold 40
121	One of your administrators fears a revol	-2	One of your administrators fears a revolution.	minunrest 5|chaos 1	defence 20
122	A prudent administrator fears your neigh	-2	A prudent administrator fears your neighbors.	order 2	defence 20
123	One of your bailiffs is afraid of monste	-2	One of your bailiffs is afraid of monsters.	magic 2	defence 10
124	An annoying leprechaun was captured by a	-2	An annoying leprechaun was captured by a simple cobbler who sold him to you for a little gold. When persuaded with burning iron, the leprechaun revealed the location of his treasure trove. A magic item and a pile of gold coins were found underneath a dung heap.	luck 1|magic 1|fullowner 37|land 1	magicitem 3|gold 99
125	A great treasure has been found! A fortu	-2	A great treasure has been found! A fortune in gold, one magic item and a huge amount of magic gems have been found and transported to the arcane laboratory.	luck 3|maxunrest 50|turn 10	gold 3000|magicitem 3|4d6gems Fire|1d3gems all7
126	A great caravan from a distant land arri	-2	A great caravan from a distant land arrived in the province. Merchants from far and wide gathered and there was much commerce.	noseason 3|pop 200|order 1	gold 1500
127	A great market was held in the province.	-2	A great market was held in the province. Merchants from far and wide gathered and there was much commerce.	noseason 3|pop 200|order 1	gold 600
128	Ravagus, the Master of Flames, has sent 	-2	Ravagus, the Master of Flames, has sent his man-born son to serve you. In return he expects you to set the world on fire.	pop0ok 1|waste 1|magic 2|heat 3|land 1|unique 1	nation -2|1com Fire Lord|2d6units Will o' the Wisp|2d6units Magma Child
129	A helpful necromancer has decided to aid	-2	A helpful necromancer has decided to aid you. He brought his soulless minions with him.	pop0ok 1|land 1|magic 2|death 1	nation -2|1com Necromancer|10d6units Soulless
130	Rumors of your reputation and promises o	-2	Rumors of your reputation and promises of an eternal afterlife has caused an amazon priestess from a distant land to lead her tribe to you. In return for service. They expect you to display your mastery over death itself.	pop0ok 1|land 1|magic 1|death 2|dominion 4|noera 3	nation -2|1com Onyx Priestess|1d6units Nightmare|5d6units Amazon
131	One of your commanders found an old dung	-2	One of your commanders found an old dungeon guarded by strange seals. After days of arcane studies, the seals were broken and a wizened old man was released. The old lore master gratefully accepted you as his new master in return for his freedom.	land 1|magic 2|mountain 1	nation -2|1com Lore Master
132	Your path to ascension has been foreseen	-2	Your path to ascension has been foreseen at the Grey Tower of Nexus and one of the Shadow Seers has been given the task of guiding you.	pop0ok 1|land 1|magic 3	nation -2|1com Shadow Seer
133	One of your gardeners has been feeding t	-2	One of your gardeners has been feeding the royal gardens with the blood of animals and condemned criminals. Unaware of the danger to himself, he entered the tainted garden and was killed by the awakened vines. For a week no one dared enter the gardens, but then a strange wanderer of the woods arrived and proclaimed that he would tame the garden, should he be made royal gardener. Now, both he and the dark vines serve you with the strength of the bloodthirsty wild.	land 1|magic 2|growth 2|chaos 1|unique 3	nation -2|1com Bloodhenge Druid|1d6units Dark Vines
134	A fugitive from the hidden kingdom of El	-2	A fugitive from the hidden kingdom of Elludia has arrived in your capital. He brings with him a handful of diamonds and swears to serve if you protect him from his former masters.	pop0ok 1|land 1|magic 2|order 2	nation -2|1com Stalker|1d6gems Air
135	An emissary from the Shadow Seers of Nex	-2	An emissary from the Shadow Seers of Nexus has arrived in the province. He brings you three gifts from the hidden tower: Astral pearls, a magic item and a pot filled with gold coins.	pop0ok 1|land 1|magic 3|order 0	nation -2|magicitem 2|2d6gems Astral|gold 200
136	An enormously wealthy prince from a dist	-2	An enormously wealthy prince from a distant land arrived in your province searching for his beloved lady. Unfortunately for him, he was infected by the plague and died in your care. His riches, a fortune in gold and a number of magic items, were confiscated and transported to your treasury.	land 1|death 3|luck 2	gold 1500|magicitem 1|magicitem 1
137	Oleg, an incredibly old alchemist workin	-2	Oleg, an incredibly old alchemist working in one of your laboratories has managed to construct a huge device that transforms base metals into gold. Unfortunately, he died from heart attack when the device actually worked. The device is operational and produces one hundred pounds of gold per month.	land 1|prod 2|magic 2|lab 1|freesites 1|unique 1	newsite 36
138	An unnatural plague has swept the provin	-2	An unnatural plague has swept the province, killing thousands. Magical gems were found in the decaying corpses. Rumors of the mythical Crown of Darkness have circulated in the province ever since.	land 1|pop 200|death 2|magic 3|turn 15	4d6gems Death|4d6gems Death|kill 50|unrest 10
139	Caspar of the Cave has arrived in your p	-2	Caspar of the Cave has arrived in your province and told you where to find the deepest cave in the province. Unfortunately he also awakened some strange beings in the deeps.	pop0ok 1|land 1|luck 2|magic 2|freesites 1|r33 37	newsite 37|1com Troglodyte|2d6units Troglodyte
140	A young scholar has discovered the tomb 	-2	A young scholar has discovered the tomb of an ancient king.	luck 1|turn 5|noera 1	gold 500|magicitem 1
141	The tomb of an ancient priest-king was d	-2	The tomb of an ancient priest-king was discovered.	pop0ok 1|luck 2|turn 10|noera 1	gold 500|magicitem 2
142	An old scholar has discovered the tomb o	-2	An old scholar has discovered the tomb of an ancient hero, holding ancient treasures.	luck 1|magic 1|turn 5	gold 500|magicitem 3|magicitem 1
143	The tomb of an ancient king was discover	-2	The tomb of an ancient king was discovered by a young scholar. Ignoring the glyphs of warning, he entered the tomb and claimed an artifact of old. Unfortunately, he also released the guardians of the tomb!.	magic 2|turn 10|noera 1	magicitem 3|1com Spectral Mage|8d6units Longdead|4d6units Longdead Horseman
144	A wealthy merchant has found salvation a	-2	A wealthy merchant has found salvation and donated a huge sum of gold to the temple.	luck 1|order 1|dominion 5|noera 1	gold 500
145	A wealthy merchant has been suffering fr	-2	A wealthy merchant has been suffering from a dread disease and donated all his gold to get rid of the affliction.	luck 1|order 1|era 2	gold 1000
146	A wealthy and faithful noble has died fr	-2	A wealthy and faithful noble has died from old age and willed his fortunes to the Awakening God. The gold was collected by the temple.	death 1|luck 1|dominion 5	gold 750
147	A tribal king from a distant land has do	-2	A tribal king from a distant land has donated a golden plow and a magic item to the Awakening God.	luck 1|dominion 5|era 1	gold 300|magicitem 2
148	There was a trade boom in the province.	-2	There was a trade boom in the province.	noseason 3|noseason 2|pop 200	gold 200
149	A great fertility festival was celebrate	-2	A great fertility festival was celebrated in the province.	temple 1|mydominion 1	decscale2 Death|landgold 5
150	A great summer festival was celebrated i	-2	A great summer festival was celebrated in the province.	temple 1|mydominion 1|season 1	incdom 1
151	A great harvest festival was celebrated 	-2	A great harvest festival was celebrated in the province. Faith has increased and bumper harvests are expected.	temple 1|mydominion 1|season 2|growth 0	incdom 1|decscale2 Turmoil
152	Instead of falling off, the leaves on an	-2	Instead of falling off, the leaves on an ancient oak turned into gems.	land 1|season 2|growth 3	4d6gems Nature
153	Midwinter was celebrated in the province	-2	Midwinter was celebrated in the province.	temple 1|mydominion 1|season 3	incdom 1
154	One cold winter night there was a storm.	-2	One cold winter night there was a storm. A man with a frozen beard and robes of silver and ice emerged. He claimed to be the last of his order and now he wishes to serve the one whose dominion is ice and darkness.	land 1|cold 2|dominion 3|season 3	nation -2|1com Ice Druid|e3 0
155	An old hut was found in a deep forest. T	-2	An old hut was found in a deep forest. The owner, an old animist, preferred to serve rather than being staked in a bog.	land 1|magic 2|forest 1	nation -2|1com Animist|5d6units Wolf
156	The cousin of a local lord has been bitt	-2	The cousin of a local lord has been bitten by a werewolf and now wishes your protection from the superstitious peasantry. He has donated his gold to the treasury.	land 1|forest 1|pop 50	nation -2|1com Werewolf|gold 200
157	A vampire that has been rooted out of hi	-2	A vampire that has been rooted out of his nest by local fanatics now seeks your protection.	land 1|forest 1|pop 50	nation -2|1com Vampire|addequip 3
158	A Vampire Count has been driven from his	-2	A Vampire Count has been driven from his lands by local fanatics and now seeks your protection.	land 1|forest 1|pop 50|death 1|pathdeath 3|unique 2	nation -2|1com Vampire|addequip 3
159	Gold deposits have been found and a new 	-2	Gold deposits have been found and a new mine is being built.	mountain 1|freesites 1	newsite 66
160	Gold deposits have been found and a new 	-2	Gold deposits have been found and a new mine is being built.	mountain 1|freesites 1|luck 2	newsite 66
161	An old tower surrounded by wisps of mist	-2	An old tower surrounded by wisps of mist was found on a high mountaintop. The owner of the tower agreed to help you for a small sum of gold and a couple of virgins.	land 1|magic 2|mountain 1|gem 7	nation -2|1com Wind Master|gold -50|gemloss Slaves
162	A large amount of magic gems have floate	-2	A large amount of magic gems have floated ashore in this province.	pop0ok 1|coast 1	4d6gems Water
163	A slave ship has been discovered and the	-2	A slave ship has been discovered and the cargo confiscated. Several virgins were transported to your blood slave dungeons.	coast 1	4d6gems Slaves
164	A pirate ship has been discovered and th	-2	A pirate ship has been discovered and the cargo confiscated.	coast 1	gold 600|unrest -5
165	A wayward siren was found by a lonely fi	-2	A wayward siren was found by a lonely fisherman. He helped her mend her broken wing and gained her trust. Being a man of faith, he converted her and she is now willing to serve you.	coast 1|magic 0|luck 1	nation -2|1com Siren
166	A sunken ship filled with treasure has b	-2	A sunken ship filled with treasure has been discovered in a deep gorge. All its wealth has been transported to your treasury.	luck 1|maxunrest 50|turn 3|land 0	gold 1000
167	A black sunken ship has been discovered 	-2	A black sunken ship has been discovered in a deep gorge. The ship contained a huge amount of magic gems and two magic items.	pop0ok 1|luck 1|maxunrest 50|turn 5|land 0	1d6gems all7|magicitem 1|magicitem 1
168	A large amount of magic water gems has b	-2	A large amount of magic water gems has been found in the deeps.	pop0ok 1|land 0	4d6gems Water
169	A triton prince has come to you in searc	-2	A triton prince has come to you in search of the fabled Orb of Atlantis. He was so impressed by your wondrous palaces that he and his retinue swore their allegiance to you.	land 0|luck 3|magic 2|fort 1	nation -2|1com Amber Clan Mage|1com Amber Clan Priest|3d6units Amber Clan Guard|6d6units Amber Clan Triton
170	A hydromancer from the Academy Underneat	-2	A hydromancer from the Academy Underneath has arrived with great gifts. He is on a secret mission, but has agreed to help you.	land 0|magic 2	nation -2|1com Hydromancer|magicitem 3
171	A triton mage from the Forest of Amber K	-2	A triton mage from the Forest of Amber Kelp has arrived with his menagerie. He was attacked by sea trolls and is now seeking refuge in your lands.	land 0|magic 1|growth 1	nation -2|1com Amber Clan Mage|3d6units Sea Stag
172	An envoy from the Cerulean Maharajah has	-1	An envoy from the Cerulean Maharajah has arrived with sad news. The Maharajah is dying and his one hundred and seven sons are gathering to attend his funeral. One of your Cerulean Warriors has left your service, apparently being one of the heirs. In gratitude he left a bag of gold for your treasury and his personal advisor to serve you.	monster Cerulean Warrior|land 1|unique 1	nation -2|1com Guru|killmon Cerulean Warrior|gold 200
173	Azazel has sired an offspring.	-1	Azazel has sired an offspring.	land 1|monster Grigori	nation -2|1com Nephil
174	Semyaza has sired an offspring.	-1	Semyaza has sired an offspring.	land 1|monster Grigori	nation -2|1com Nephil
175	Ezekiel has sired an offspring.	-1	Ezekiel has sired an offspring.	land 1|monster Grigori	nation -2|1com Nephil
176	Shamshiel has sired an offspring.	-1	Shamshiel has sired an offspring.	land 1|monster Grigori	nation -2|1com Nephil
177	Kokabel has sired an offspring.	-1	Kokabel has sired an offspring.	land 1|monster Grigori	nation -2|1com Nephil
178	Arakiel has sired an offspring.	-1	Arakiel has sired an offspring.	land 1|monster Grigori	nation -2|1com Nephil
