id	name	wpn1	wpn2	wpn3	wpn4	wpn5	wpn6	wpn7	armor1	armor2	armor3	armor4	rt	reclimit	basecost	gmon	gcom	rcost	size	ressize	hp	prot	mr	mor	str	att	def	prec	enc	mapmove	ap	ambidextrous	mounted	reinvigoration	leader	undeadleader	magicleader	startage	maxage	hand	head	body	foot	misc	pathcost	startdom	inn	F	A	W	E	S	D	N	B	H	rand1	nbr1	link1	mask1	rand2	nbr2	link2	mask2	rand3	nbr3	link3	mask3	rand4	nbr4	link4	mask4	holy	inquisitor	mind	inanimate	undead	demon	magicbeing	stonebeing	animal	coldblood	female	forestsurvival	mountainsurvival	wastesurvival	swampsurvival	cavesurvival	aquatic	amphibian	pooramphibian	float	flying	stormimmune	teleport	immobile	noriverpass	sailingshipsize	sailingmaxunitsize	stealthy	illusion	spy	assassin	patience	seduce	succubus	corrupt	heal	immortal	reinc	noheal	neednoteat	homesick	undisciplined	formationfighter	slave	standard	inspirational	taskmaster	beastmaster	bodyguard	waterbreathing	iceprot	invulnerable	slashres	bluntres	pierceres	shockres	fireres	coldres	poisonres	voidsanity	darkvision	blind	animalawe	awe	halt	fear	berserk	cold	heat	fireshield	banefireshield	damagerev	poisoncloud	diseasecloud	slimer	mindslime	disbel	reform	regeneration	reanimator	barbs	petrify	eyeloss	ethereal	ethtrue	deathcurse	trample	trampswallow	stormpower	firepower	coldpower	darkpower	chaospower	magicpower	winterpower	springpower	summerpower	fallpower	forgebonus	fixforgebonus	mastersmith	resources	autohealer	autodishealer	alch	nobadevents	event	insane	shatteredsoul	leper	taxcollector	gem	gemprod	chaosrec	pillagebonus	patrolbonus	castledef	siegebonus	incprovdef	supplybonus	incunrest	popkill	researchbonus	drainimmune	inspiringres	douse	sacr	ivylord	crossbreeder	makepearls	pathboost	allrange	voidsum	heretic	elegist	shapechange	firstshape	secondshape	secondtmpshape	landshape	watershape	forestshape	plainshape	unique	fixedname	special	nametype	type	typeclass	from	summon	n_summon	autosum	n_autosum	batstartsum1	batstartsum2	domsummon	n_domsummon	bloodvengeance	bringeroffortune	realm1	realm2	realm3	batstartsum3	batstartsum4	batstartsum5	batstartsum1d6	batstartsum2d6	batstartsum3d6	batstartsum4d6	batstartsum5d6	batstartsum6d6	turmoilsummon	coldsummon	scalewalls	baseleadership	explodeondeath	startaff	uwregen	shrinkhp	growhp	transformation	startingaff	fixedresearch	divineins	lamiabonus	preanimator	dreanimator	mummify	onebattlespell	fireattuned	airattuned	waterattuned	earthattuned	astralattuned	deathattuned	natureattuned	bloodattuned	magicboostF	magicboostA	magicboostW	magicboostE	magicboostS	magicboostD	magicboostN	magicboostALL	eyes	heatrec	coldrec	spreadchaos	spreaddeath	corpseeater	poisonskin	bug	uwbug	spreadorder	spreadgrowth	startitem	spreaddom	reform	battlesum5	acidsplash	drake	prophetshape	horror	enchrebate50	heroarrivallimit	sailsize	uwdamage	landdamage	test
28	Light Infantry	1							6	2	120		1		10010	10	40	1	2	2	10	0	10	10	10	10	10	10	3	2	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
29	Light Infantry	1	21						6	20	2		1		10010	10	40	1	2	2	10	0	10	10	10	10	10	10	3	2	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
30	Militia	1							5	120			1		10007	7	35	1	2	2	10	0	10	8	9	8	8	10	4	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
31	Militia	1							5	20	2		1		10007	7	35	1	2	2	10	0	10	8	10	8	8	10	4	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
32	Archer	6	23						9	20			1		10010	10	40	1	2	2	10	0	10	8	10	8	8	10	3	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
33	Archer	6	23						6	120			1		10010	10	40	1	2	2	10	0	10	8	10	8	8	10	3	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
34	Commander	8							7	20	2		1		10010	10	40	1	2	2	11	0	10	11	10	10	10	10	3	2	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																c	Commander	Recruitment																										40																																																							
35	Commander	8							8	20	2		1		10010	10	40	1	2	2	11	0	10	11	10	10	10	10	3	2	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																c	Commander	Recruitment																										40																																																							
36	Commander	8							9	20	2		1		10010	10	40	1	2	2	11	0	10	11	10	10	10	10	3	2	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																c	Commander	Recruitment																										40																																																							
37	Master of the Games	8	6						9	123			1		10010	10	25	1	2	2	15	0	10	13	12	13	14	10	3	2	12	3			10	0	0	22	50	2	1	1	1	2																																																																																																																																																																														Hero, Pythium, nonunique		c	Hero	Event						12																				10																																																							
38	Heavy Infantry	1							11	20	2		1		10010	10	40	1	2	2	10	0	10	10	10	10	10	10	3	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
39	Heavy Infantry	8							12	118	2		1		10010	10	40	1	2	2	10	0	10	10	10	10	10	10	3	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
40	Heavy Infantry	8							13	118	2		1		10010	10	40	1	2	2	10	0	10	10	10	10	10	10	3	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
41	Arch Theurg	7							148				2		10010	11	390	1	2	2	8	0	17	14	10	12	12	12	3	1	10				10	0	0	68	50	2	1	1	1	2					2	1		3				3	100	1	1	2944	10	1	1	2944									1																																																																																																									5																																										c	Mage	Recruitment																										10																																																							
42	Theurg	12							148				1		10010	13	215	1	2	2	9	0	15	13	10	11	10	10	3	2	10				10	0	0	52	50	2	1	1	1	2					1	1		2				2																	1																																																																																																									2																																										c	Mage	Recruitment																										10																																																							
43	Theurg Acolyte	9											1		10010	13	70	1	2	2	10	0	13	12	10	8	8	8	3	2	10				10	0	0	33	50	2	1	1	1	2								1				1																	1																																																																																																																																																			c	Priest	Recruitment																										10																																																							
44	Mounted Commander	8	56						13	20			1		10010	25	55	20	3	2	11	0	10	11	10	10	10	10	5	2	22		1		60	0	0	22	50	2	1	1	0	2																																																																																																																																																																																c	Commander	Recruitment																										40																																																							
45	Mounted Commander	8	56						11	20			1		10010	25	55	20	3	2	11	0	10	11	10	10	10	10	5	2	22		1		60	0	0	22	50	2	1	1	0	2																																																																																																																																																																																c	Commander	Recruitment																										40																																																							
46	Mounted Commander	8	56						10	20			1		10010	25	55	1	3	2	11	0	10	11	10	10	10	10	5	3	25		1		60	0	0	22	50	2	1	1	0	2																																																																																																																																																																																c	Commander	Recruitment																										40																																																							
47	Crossbowman	9	25						6	120			1		10010	10	40	1	2	2	10	0	10	8	10	8	8	10	4	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
48	Crossbowman	6	25						7	20			1		10010	10	40	1	2	2	10	0	10	8	10	8	8	10	4	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
49	Crossbowman	6	25						9	20			1		10010	10	40	1	2	2	10	0	10	8	10	8	8	10	4	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
50	Slinger	9	22						5	120			1		10007	7	35	1	2	2	10	0	10	7	10	8	8	10	4	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
51	Battle Vestal	1							2				1		10012	15	50	1	2	2	9	0	11	12	9	12	13	10	3	2	13				40	0	0	22	50	2	1	1	1	2																													1										1																																																																																																																																									u	Unit	Recruitment																										40																																																							
52	Battle Deacon	12							9	127			1		10010	13	65	1	2	2	11	0	12	12	10	11	11	10	3	2	12				40	0	0	33	50	2	1	1	1	2												1																	1																																																																																																																																																			c	Priest	Recruitment																										40																																																							
53	Logrian Warrior	17							16	118	2		1		10012	10	40	1	2	2	12	0	10	11	11	11	10	10	3	2	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
54	Castellan	8							13	118	2		1		10010	10	70	1	2	2	12	0	10	12	10	11	11	10	3	2	12				80	0	0	27	50	2	1	1	1	2																																																																																																																																																																																c	Commander	Recruitment																										80																																																							
55	Longbowman	6	24						5	120			1		10012	12	40	1	2	2	10	0	10	9	11	10	10	10	3	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
56	Royal Forester	17	17	23					15	120			1		10020	20	40	1	2	2	12	0	10	11	10	11	11	13	3	2	12	3			10	0	0	22	50	2	1	1	1	2																																								1																55																																																																																								5																																c	Commander	Recruitment																										10																																																							
57	Knight of Man	4	8	56					18	21	3		1		10030	45	75	20	3	2	12	0	10	13	12	12	12	10	5	2	20		1		40	0	0	22	50	2	1	1	0	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
58	Knight of the Stone	4	8	56					19	21	3		1		0	0	0	20	3	2	16	0	12	16	13	16	14	10	5	2	20		1		120	0	0	33	50	2	1	1	0	2																																																																																																																																																																														Hero, Man, nonunique		c	Hero	Event																										120																																																							
59	Longbowman	6	24						5	120			1		10012	12	40	1	2	2	10	0	10	10	11	10	10	12	3	2	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
60	Monk	92											1		9990	-13	25	1	2	2	9	0	13	9	9	8	8	10	4	2	10				10	0	0	33	50	2	1	1	1	2												1																	1																											40																																																																																																																								c	Priest	Recruitment																										10								3	1																																														
61	Spearman	1							6	20	2		1		10010	10	40	1	2	2	10	0	10	10	10	10	10	10	3	2	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
62	Longspear	28							7	20	2		1		10010	10	40	1	2	2	10	0	10	10	10	10	10	10	3	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
63	Tower Guard	8							8	118	2		1		10013	13	40	1	2	2	11	0	10	11	10	11	11	10	3	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																	1																															u	Unit	Recruitment																										40																																																							
64	Knight of Avalon	4	8	330	56				18	21	3		1		10050	65	95	25	3	2	14	0	13	14	12	12	13	10	5	3	30		1		40	0	0	37	90	2	1	1	0	2																																								1																								1																																																																																																																u	Unit	Recruitment																										40																																																							
65	Warden of Avalon	11							18	21			1		10020	26	70	1	2	2	14	0	12	14	13	12	12	10	3	1	12				40	0	0	22	50	2	1	1	1	2																													1											1																40																					3																																																																																																			u	Unit	Recruitment																										40																																																							
66	Guardian	508							91	21			1		10020	20	50	1	2	2	14	0	9	14	12	12	10	10	2	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																	2																															u	Unit	Recruitment																										40																																																							
67	Infantry of Ulm	18							192	118			1		10010	10	10	1	2	2	12	0	9	10	11	10	10	10	2	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
68	Black Plate Infantry	18							91	21			1		10010	10	10	1	2	2	12	0	9	11	11	10	10	10	2	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
69	Black Knight	4	15	56					91	21	3		1		10035	50	80	25	3	2	15	0	9	14	13	12	12	10	4	2	18		1		40	0	0	22	50	2	1	1	0	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
70	Black Lord	4	15	56					91	21	3		1		10035	50	110	25	3	2	17	0	9	16	14	13	12	10	4	2	18		1		80	0	0	27	50	2	1	1	0	2																																																																																																																																																																																c	Commander	Recruitment																										80																																																							
71	Infantry of Ulm	16							192	118			1		10010	10	40	1	2	2	12	0	9	10	11	10	10	10	2	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
72	Black Plate Infantry	16							91	21			1		10010	10	40	1	2	2	12	0	9	11	11	10	10	10	2	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
73	Infantry of Ulm	13							192	118	4		1		10010	10	10	1	2	2	12	0	9	10	11	10	10	10	2	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
74	Black Plate Infantry	13							91	21	4		1		10010	10	40	1	2	2	12	0	9	11	11	10	10	10	2	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
75	Infantry of Ulm	14							192	118			1		10010	10	40	1	2	2	12	0	9	10	11	10	10	10	2	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
76	Black Plate Infantry	14							91	21			1		10010	10	40	1	2	2	12	0	9	11	11	10	10	10	2	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
77	Infantry of Ulm	15							192	118	4		1		10010	10	40	1	2	2	12	0	9	10	11	10	10	10	2	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
78	Black Plate Infantry	15							91	21	4		1		10010	10	40	1	2	2	12	0	9	11	11	10	10	10	2	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
79	Pikeneer	2							192	118			1		10010	10	40	1	2	2	12	0	9	11	11	10	10	10	2	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
80	Black Plate Pikeneer	2							91	21			1		10010	10	40	1	2	2	12	0	9	12	11	10	10	10	2	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
81	Abysian Infantry	18							14	20			1		10020	20	50	1	2	2	15	0	12	11	13	10	9	7	2	1	11				40	0	0	16	35	2	1	1	1	2																																										1																																											25				50								3																																																																															u	Unit	Recruitment																										40																																																							
82	Abysian Infantry	16							14	20			1		10020	20	50	1	2	2	15	0	12	11	13	10	9	7	2	1	11				40	0	0	16	35	2	1	1	1	2																																										1																																											25				50								3																																																																															u	Unit	Recruitment																										40																																																							
83	Abysian Infantry	17							14	20	4		1		10020	20	50	1	2	2	15	0	12	11	13	10	9	7	2	1	11				40	0	0	16	35	2	1	1	1	2																																										1																																											25				50								3																																																																															u	Unit	Recruitment																										40																																																							
84	Abysian Infantry	15							14	20	4		1		10020	20	50	1	2	2	15	0	12	11	13	10	9	7	2	1	11				40	0	0	16	35	2	1	1	1	2																																										1																																											25				50								3																																																																															u	Unit	Recruitment																										40																																																							
85	Anathemant Salamander	9											1		10020	26	185	1	2	2	14	0	15	13	13	10	9	9	2	2	9				40	10	0	34	35	2	1	1	1	2				2								2																	1													1																																											25				50								3																																																																															c	Mage	Recruitment																										40																																																327							
86	Anathemant Dragon	12											2		10020	23	260	1	2	2	13	0	17	13	13	11	10	10	2	2	9				40	10	0	42	35	2	1	1	1	2				3								3	10	1	1	19584													1													1																																											25				50								3																																																																															c	Mage	Recruitment																										40																																																327							
87	Demonbred	29	29										2		10030	35	265	1	3	2	17	6	17	14	14	11	9	7	2	2	8				80	40	0	55	250	2	1	1	1	2				2							2	2																	1													1							1																																				25				50								3																																																									1																						c	Mage	Recruitment																										80																																																121							
88	Fiend of Darkness	207	207										1		0	0	0	1	3	2	30	10	17	30	15	13	13	10	1	2	13				40	40	0	370	1000	2	1	1	1	2																																		1															1							40												1																																																				2																																																								u	Unit	Summon																										40																																																							
89	Warlock	9											1		10020	20	295	1	2	2	15	0	15	11	13	11	10	9	2	2	9				10	10	0	47	35	2	1	1	1	2								2			3		100	1	1	19584	10	1	1	19584																						1																																											25				50								3																																																																															c	Mage	Recruitment																										10																																																327							
90	Lava Warrior	15	15						14	118			1		10025	30	70	1	3	3	17	0	12	14	14	11	9	10	2	1	11	2			40	0	0	16	35	2	1	1	1	2																													1													1																																											25				50						3		3																					1																																																										u	Unit	Recruitment																										40																																																							
92	Cloud Mage	9											1		10010	10	45	1	2	2	10	0	13	10	10	8	8	11	3	2	10				10	0	0	29	50	2	1	1	1	2					1																																																																																																																																																																											c	Mage	Magic site																										10																																																							
93	Wind Master	9											1		10010	10	105	1	2	2	9	0	15	12	9	8	8	12	4	2	9				10	0	0	37	50	2	1	1	1	2					2																																													1																																																																																																																														c	Mage	Magic site																										10																																																							
94	Conjurer	9											1		10010	10	65	1	2	2	10	0	14	10	10	8	8	10	3	2	10				10	40	40	37	50	2	1	1	1	2									1		1																																																																																																																																																																					c	Mage	Magic site																										10																																																							
95	Circle Master	7											1		10010	10	165	1	2	2	9	0	16	12	9	7	7	9	4	2	9				10	40	40	52	50	2	1	1	1	2									2		2																																																																																																																																																																					c	Mage	Magic site																										10																																																							
96	Azure Initiate	9											1		10010	10	45	1	2	2	10	0	13	10	10	8	8	10	3	2	10				10	0	0	29	50	2	1	1	1	2						1																																								1																																10																																																																																																		c	Mage	Magic site																										10																																																							
97	Azure Mage	9											1		10010	10	105	1	2	2	9	0	15	12	9	8	8	10	4	2	9				10	0	0	37	50	2	1	1	1	2						2																																								1																																20																																																																																																		c	Mage	Magic site																										10																																																							
98	Pyromancer	9											1		10010	10	45	1	2	2	10	0	13	11	10	8	8	10	3	2	10				10	0	0	29	50	2	1	1	1	2				1																																																																																																																																																																												c	Mage	Magic site																										10																																																							
99	Adept of Pyriphlegeton	7											2		10010	9	150	1	2	2	10	0	15	13	10	9	9	10	3	2	9				10	0	0	45	50	2	1	1	1	2				3																																																																																																																																																																												c	Mage	Magic site																										10																																																							
100	Adept of the Silver Order	172											2		10010	9	240	1	2	2	9	0	16	12	8	8	8	12	3	1	8				10	0	40	52	50	2	1	1	1	2					2			2					100	1	1	3456																																																																																																																																							8																									c	Mage	Magic site																										10																																																							
101	Adept of the Golden Order	172											2		10010	9	240	1	2	2	10	0	16	13	8	8	8	10	3	1	8				10	0	40	52	50	2	1	1	1	2				2				2					100	1	1	3456																																																																																																																																							8																									c	Mage	Magic site																										10																																																							
102	Initiate of the Deep	9											1		10010	10	45	1	2	2	10	0	13	12	8	7	7	9	3	2	10				10	0	0	29	50	2	1	1	1	2						1																																									1																																																																																																																																	c	Mage	Magic site																										10																																																							
103	Hydromancer	32											2		10010	9	150	1	2	2	8	0	15	10	9	8	8	10	4	2	8				10	0	0	45	50	2	1	1	1	2						3																																								1																																																																																																																																		c	Mage	Magic site																										10																																																							
104	Deep Seer	32											1		10010	10	235	1	2	2	8	0	16	13	9	8	8	10	3	1	8				40	0	0	60	50	2	1	1	1	2						3		2				1																	1																	1																																20																																																								10																																										c	Mage	Recruitment																										40																																																							
105	Woodhenge Druid	7											1		10050	13	80	1	2	2	9	0	15	12	9	8	8	10	3	2	9				10	0	0	33	50	2	1	1	1	2										1		1																	1											1																40																																																																																																																								c	Mage	Recruitment																										10																																																							
106	Shadow Seer	9											2		10010	9	150	1	2	2	9	0	18	12	9	8	8	10	3	2	8				10	0	0	129	150	2	1	1	1	2								3																																																40																																																								1																																																																c	Mage	Magic site																										10																																																							
107	Atlantian Light Infantry	31							22				1		10010	10	40	1	2	2	12	2	10	10	11	10	9	8	3	2	10				40	0	0	22	500	2	1	1	1	2																																														1																																											50																				1																																																																			u	Unit	Recruitment																										40																																																							
108	Coral Guard	31							23	24	25		1		10015	15	45	1	2	2	14	2	10	13	12	11	10	8	2	1	10				40	0	0	27	500	2	1	1	1	2																																														1																																											50																				1																																																																			u	Unit	Recruitment																										40																																																							
