id	name	rarity	loc	level	path	F	A	W	E	S	D	N	B	gold	res	sup	unr	exp	lab	fort	scale1	scale2	domspread	turmoil	sloth	cold	death	misfortune	drain	fireres	coldres	shockres	poisonres	str	prec	mor	undying	att	darkvision	aawe	rit	ritrng	hmon1	hmon2	hmon3	hmon4	hmon5	voidgate	sum1	n_sum1	sum2	n_sum2	sum3	n_sum3	conj	alter	evo	const	ench	thau	blood	heal	disease	curse	horror	holyfire	holypow	scry	adventure	other	sum4	n_sum4	hcom1	hcom2	hcom3	hcom4	hcom5	mon1	mon2	mon3	mon4	mon5	com1	com2	com3	com4	com5	reveal	provdef1	provdef2	def	F2	A2	W2	E2	S2	D2	N2	B2	awe	reinvigoration	test
71	House of Justice	5	0	0	Holy	1																																					2114																								25%						2199	745																												
72	Palace of Pearls	5	0	0	Water			4				2																															2387																														2397																													
73	Mount Cephalos	5	0	0	Air		2			2																																	1074																														1650	1075																												
74	Lykeion	5	0	0	Earth				2																																																																1606																													
75	Akademeia	5	0	0	Earth																																																																				1070																													
76	Temple Sanguine	5	0	0	Blood																																																																				1967																													
77	Temple of the Shroud	5	0	0	Holy	3				3																																	1108																														1112	1111																												
78	The Lotus Gardens	5	0	0	Nature					3		2																															1141																														1144																													
79	The Carrion Grove	5	0	0	Nature						1	4																															787																																																											
80	The Carrion Grove	5	0	0	Nature						1	6																															787																																																											
81	The Carrion Grove	5	0	0	Nature						1	9																															787																																																											
82	The Wheel of Pain	5	0	0	Earth																																						1157																																																											
83	Irminsul	5	0	0	Nature				3		1	2																																																													1161																													
84	The Great Cauldron	5	0	0	Blood								2																														1183	1176																													1177	1178																												
85	The Bitter Stream	5	0	0	Death			1			3																																1185																																																											
86	Steppes of Sauromatia	5	0	0	Death																																						1185																																																											
87	High Temple of the Land	5	0	0	Nature							1																															727																														1190	1194																												
88	High Temple of the Sky and the Rain	5	0	0	Water		1	1																																																																	1191	1907																												
89	Temple of the Moon	5	0	0	Astral					1																																																															1192																													
90	Temple of the Sun	5	0	0	Fire	1																																					725																														1193																													
91	Carnutes	5	0	0	Nature				2	3		1																															1222																														1223	1204																												
92	Temple of the Pure War	5	0	0	Holy		1																																				1247																																																											
93	Mountain of the Mystics	5	0	0	Earth	1			1			1																															1248																																																											
94	Palace of the Eagle Kings	5	0	0	Air		3	1																																			127	1289																													1286																													
95	Mountain of the Oni Kings	5	0	0	Earth	1	1		1		3																																																														1316																													
96	Patala	5	0	0	Earth			2	1																																		1318	1319																																																										
97	The Jeweled City	5	0	0	Earth					1																																																															1320	1321	1322																											
98	Mount Kailasa	5	0	0	Earth				2																																		1327	1328																																																										
99	The Lotus Garden	5	0	0	Nature					2		2																																																													1329	1330																												
100	Augurs' Circle	5	0	0	Death						1																																																														1115																													
101	The Grove of Aphros	5	0	0	Nature			2				4																															2401																														2399																													
102	Temple of the Land	5	0	0	Blood							1																															726																														732																													
103	High Temple of the Rain	5	0	0	Blood			1																																			1423																														1421	1420																												
104	Temple of the Moon	5	0	0	Blood					1																																																															734																													
105	Temple of the Sun	5	0	0	Blood	1							1																																																												1424																													
106	Mount Shinuyama	5	0	0	Earth	1		1	1		2																																																																																											
107	Tombs of the Oracles	5	0	0	Death						2																																																														1438																													
108	Mines of the Pale Ones	5	0	0	Earth	1			1						50																																																																																							
109	Halls of the Oracles	5	0	0	Earth																																																															1					1457	1467	1468																											
110	Roots of the Earth	5	0	0	Earth	1			3																																																																																													
111	Halls of the Oracles	5	0	0	Earth																																						2189	2188																								1					2506	1459																												
112	The Chamber of the Seal	5	0	0	Death						1																																1456																																																											
113	Gnipahålan	5	0	0	Death				1		4																																																														1010																													
114	Vanhalla	5	0	0	Air		3																																				1513																														948																													
115	The Halls of Andvare	5	0	0	Earth				3																																		463																														323																													
116	The Gorge of Ancient Cities	5	0	0	Water			2	1	3																																	1522																														1521																													
117	The Carrion Grove	5	0	0	Nature						1																																787																														901	709																												
118	The Grove of Gaia	5	0	0	Nature							6																															769																																																											
119	The Smouldercone	5	0	0	Fire	5																																					1661																														1542	1538	1537																											
120	Temple of the All-Consuming Flame	5	0	0	Fire	1																																					1543																														1536																													
121	Temple of the All-Consuming Flame	5	0	0	Fire	1																																					90																																																											
122	The Sibylline Caves	5	0	0	Astral					3		1																																																								1					1557																													
123	The Cerulean Tower	5	0	0	Water																																						1556																																																											
124	Gymnasium	5	0	0	Water																																						747																																																											
125	The Enchanted Isle	5	0	0	Nature							1																																																																																										
126	The Coast of Ice and Bones	5	0	0	Water			3			1																																1630																														1618																													
127	The Forest of Avalon	5	0	0	Nature		2					2																															1648																														1666																													
128	The Basalt City	5	0	0	Earth	1			3																																		1690																														1695																													
129	The Dark Crystal	5	0	0	Water			2																																																																	1702																													
130	The Heavenly Gate	5	0	0	Astral		1			1																																																															1712																													
131	Sri Pada	5	0	0	Air		1				3																																																														1739	1738																												
132	Lanka	5	0	0	Blood							2																															1745	1746	1747																																																									
133	Tir na n'Og	5	0	0	Air		3																																				1753																														1754	1773																												
134	Mag Mor	5	0	0	Nature				1			2																																																																																										
135	Mound of Ancient Kings	5	0	0	Nature		3					2																															849																														856	1774																												
136	Isle of Balor	5	0	0	Water		2	1																																			1817	1801																													1802																													
137	Rath Chimbalth	5	0	0	Air		1				2																																1790																														1791	1792																												
138	The Imperial Capital	5	0	0	Holy																																						763																														765																													
139	Temple of the Spheres	5	0	0	Astral					1																																																															1874																													
140	Grand Cathedral	5	0	0	Holy					1																																																															1961																													
141	Hall of Elders	5	0	0	Astral	1	1			1																																																															1937																													
142	Palace of the Sage King	5	0	0	Holy																																						2000																														2001																													
143	Temple of the Sage King	5	0	0	Holy	1			1	2																																																															1987																													
144	The Twin Cities	5	0	0	Holy						1																																2025	2026																													2011	2027	2028																											
145	Mount Seir	5	0	0	Earth	1			2	1																																																																																												
146	Gomorrah	5	0	0	Earth								2																														2030																														2031	2032																												
147	Mount Hermon	5	0	0	Earth	2			2	1																																																																																												
148	Campus Sceleris	5	0	0	Death						1																																809																																																											
149	The House of Water	5	0	0	Water			2	1																																		2176																																																											
150	The First City	5	0	0	Holy																																																																				2269	2181																												
151	The Swamps of Ur	5	0	0	Nature							3																															1347																																																											
152	Temple of Storms and Flames	5	0	0	Blood	2	3						2																														2262																														2266																													
153	Forest of Spider	5	0	0	Nature						1	2																															2301	2302	2308																												2295																													
154	Great Mababwe	5	0	0	Holy	1			2																																		2309																														2297	2296																												
155	Novgård	5	0	0	Air	1	2																																				2349																														2342																													
156	Pine of Skulls	5	0	0	Nature						1	1																															2352																																																											
157	Campus Sceleris	5	0	0	Holy						8																																																																																											
158	Campus Sceleris	5	0	0	Holy						15																																																																																											
159	Campus Sceleris	5	0	0	Holy						22																																																																																											
160	Palace of Pearls	5	0	0	Water			4				1																															1059																														1061	1088																												
161	Palace of Pearls	5	0	0	Water			3				1																															2387																														2397																													
162	The Grove of Aphros	5	0	0	Nature			2				3																															2401																														2399																													
163	The Grove of Aphros	5	0	0	Nature			2				2																															2401																														2399																													
164	The City of Unfullfilled Dreams	5	0	0	Astral			1		3																																																																																												
165	The Chamber of the Broken Seal	5	0	0	Death						5										Death																																																																																	
166	The Chamber of the Broken Seal	5	0	0	Death						1																																2508																																																											
167	The Womb of the Earth	5	0	0	Earth			1																																			2492																														2493																													
168	Spire Horn Mountain	5	0	0	Air		1																																				2558																																																											
169	Ravens Vale	5	0	0	Earth				1																																		2559																														2560																													
170	Lake Urmia	5	0	0	Water		1	1		1																																	2592																																																											
171	Mountain of the Everburning Caverns	5	0	0	Fire	1																																					2587																														2629																													
172	Palace of the Sun Kings	5	0	0	Holy	1	1			1																																	2653																														2658	2659																												
173	Tombs of the Sun Kings	5	0	0	Death				1		1																																2667																														2663																													
174	Cavern of the Sun	5	0	0	Fire	3			1																																		2672																														2684																													
175	House of Knives	5	0	0	Blood						2																																																														2736																													
176	House of Jaguars	5	0	0	Blood																																																																				2736																													
177	The Sacred Cenote	5	0	0	Water			1																																			2730	2731																													2732																													
178	The Flooded City	5	0	0	Water			2	1																																		2729																														2714																													
179	The Cave of Perpetual Darkness	5	0	0	Death						1																																																														2719																													
180	The Flooded City	5	0	0	Water			1	1																																		2747																														2749																													
181	The Obsidian Cavern	5	0	0	Death						2																																2743																														2754																													
210	Tar Pits	0	219	1	Fire	1																																																																																																
211	Sun Ridge	0	223	1	Fire	2																																																																																																
212	Gold Apple Tree	1	223	2	Fire	2																																																																																																
213	Bronze Pillar	0	735	3	Fire	1																																																																																																
214	Plain of Perpetual Drought	0	8	0	Fire	1															Heat																																																																																	
215	Magus Temple	1	223	1	Fire	1				1									lab																																																																480																			
216	Alchemists Guild	1	223	1	Fire	1			1																																																																										551																			
217	Smoke Forest	1	2	1	Fire	1	1																																																																																															
218	Rage Wind Heath	1	9	1	Fire	1	1																																																																																															
219	Bog of Strange Lights	1	134	1	Fire	1		1																																																																																														
220	Copper Cliff	1	1023	1	Fire	1			1																																																																																													
221	Stargazers Cliff	1	223	1	Fire	1				1																																																																																												
222	Desert of Bones	0	8	1	Fire	1					1										Heat																																																														2245																			
223	Lantern Forest	1	2	1	Fire	1						1																																																																																										
224	Orichalcum Mine	1	516	2	Fire									150																																																																																								
225	Volcano	2	223	0	Fire	3															Heat																																																																																	
226	Solar Lens	2	223	1	Fire	1																																			F	3																																																												
227	Solar Circle	2	223	2	Fire	1																																																			20%																																													
228	Tower of the Golden Order	2	223	1	Fire	3				2									lab																																																																101																			
229	Tower of the Golden Order	2	223	1	Fire	2				3									lab																																																																101																			
230	Tower of the Golden Order	2	223	1	Fire	2				2									lab																																																																101																			
231	Academy of High Magics	2	223	1	Fire	1				1									lab																																																																312	302																		
232	Ashen Fields	2	9	1	Fire	1																																																	20%																																															
233	Fountain of Fire	2	735	1	Fire	3															Heat																																																																																	
234	The Steel Ovens	1	17119	0	Fire										75																																											20%																																												
235	High Temple of the Magii	1	16607	1	Fire	2				2									lab																																																																480	481																		
236	The Citadel of Pyriphlegeton	1	17119	2	Fire	4																																																																													98	99																		
237	The Glowing Hill	1	16607	2	Fire																																																																									849																								
238	The Fire Prison	1	17119	2	Fire	4																																																					20%																																											
239	The Temple of the Raging God	1	16607	2	Fire	2															Turmoil																																																														389	98	241																	
240	The Brass Door Hill	1	16607	3	Fire	3																																																																																																
241	Prison of the Desert Sun	2	16392	4	Fire	5															Heat	Heat																																																																																
242	Fountain of Rubies	2	735	2	Fire	3								200																																																																																								
243	Dragon Forest	2	16386	2	Fire	2	1																																																																																															
244	Enchanted Pyre	0	223	1	Fire	1																																																																																																
245	Rageflame Tower	1	223	1	Fire	1																																																																																																
246	Steam Swamp	1	128	2	Fire	1		1																																																																																														
247	Smoke Gorge	1	8	2	Fire	1	1																																																																																															
248	Magma Pit	1	516	2	Fire	1			1																																																																																													
249	Starfire Crystals	1	4	2	Fire	1				1																																																																																												
250	Ash Valley	1	8	2	Fire	1					1																																																																																											
251	Flame Forest	1	2	2	Fire	1						1																																																																																										
252	City of Ashes	2	16392	2	Fire	1					1																																																																								2245																			
253	Temple of the Solar Bull	2	223	2	Fire	2																																																																													1873																			
254	Thunder Oak	0	223	1	Air		1																																																																																															
255	Canyon of Wild Winds	0	95	1	Air		2																																																																																															
256	Blasted Heath	1	223	2	Air		2																																																																																															
257	Cave of Clouds	0	524	3	Air		1																																																																																															
258	Mist Covered Highlands	0	4	0	Air		1																																																																																															
259	Desert of Sighs	0	8	1	Air		1				1																																																																								2245																			
260	Cypress Forest	0	32770	1	Air		1					1																																																																																										
261	Howling Gorge	1	223	1	Air		1																																																																																															
262	Canyon of Playful Winds	1	95	1	Air		1																																																																																															
263	Cracked Tower	1	223	1	Air		2																																																																																															
264	Elusive Lights	1	735	1	Air	1	1																																																																																															
265	Ice Mists	1	223	1	Air		1	1																																																																																														
266	Singing Stones	1	735	1	Air		1		1																																																																																													
267	Cloud Pillars	1	223	1	Air		1			1																																																																																												
268	Mirrorlake	1	223	2	Air		1	2																																																																											341																			
269	Dragon Cliff	2	223	1	Air		1																																																20%																																															
270	Tower of the Silver Order	2	223	1	Air		3			2									lab																																																																100																			
271	Tower of the Silver Order	2	223	1	Air		2			3									lab																																																																100																			
272	Tower of the Silver Order	2	223	1	Air		2			2									lab																																																																100																			
273	Academy of High Magics	2	223	1	Air		1				1								lab																																																																312	302																		
274	Cloud Spire	2	223	2	Air		2												lab																																																																93	92																		
275	Ivory Tower	2	223	2	Air		3			1									lab																																																																343																			
276	Twin Spire Tower	2	223	1	Air		1			1																																																																									343																			
277	Stone Spires	2	8	1	Air		2																																		A	2																																																												
278	Tempest Spire	2	4	1	Air		1																																																		20%																										93																			
279	Blizzard Valley	2	4	1	Air		1	1													Cold																																				20%																																													
280	Forest of Joy	1	49154	1	Air		1										-5																																																																																					
281	The Cloven Mountain	1	16388	1	Air		3		1																																																																																													
282	Stairway Mountain	1	16388	1	Air		2		1																																																																																													
283	Mirror Wall Palace	1	16607	1	Air		3																																																																												343																			
284	The Flailing Forest	1	16386	2	Air		2					1																																																																																										
285	The Whirlwind of Cyclon	1	16607	2	Air		4																																																																																															
286	The Doom Cloud	1	16607	2	Air		2				2										Misfortune																																																																																	
287	The Inverted Tower	1	17119	3	Air		4												lab																																																																341																			
288	The Rainbow Shroud	1	16607	3	Air		2					2																																																							20%																																			
289	Palace of Dreams	2	16385	4	Air		4			1																																																																																												
290	Dragon Mountain	2	16388	0	Air		1																																										593	1																																																				
291	Silver Forest	2	2	1	Air		1		1					40																																																																																								
292	Valley of the Roc	2	16388	3	Air	1	1		1					200																																																																																								
293	Enchanted Windmill	0	223	1	Air		1									50																																																																																						
294	Whisperwind Tower	1	223	1	Air		1																																																																																															
295	Scorchwind Waste	1	8	2	Air	1	1																																																																																															
296	Saltspray Cliffs	1	64	2	Air		1	1																																																																																														
297	Copper Mists	1	8	2	Air		1		1																																																																																													
298	Moonwind Marsh	1	128	2	Air		1			1																																																																																												
299	Plaguewind Waste	1	8	2	Air		1				1																																																																																											
300	Thunder Woods	1	223	2	Air		1					1																																																																																										
301	Dragon Jaws	2	16388	0	Air	1	1		1																																								593	1																																																				
302	Tempest Hall	2	223	2	Air		3																																																																																															
303	Well of White Water	0	735	1	Water			1																																																																																														
304	Mercury Pond	0	735	1	Water			2																																																																																														
305	Singing Stream	1	735	2	Water			2																																																																																														
306	Weeping Stone	0	735	3	Water			1																																																																																														
307	Boiling Bog	0	134	1	Water	1		1																																																																																														
308	Lake of Mists	1	223	0	Water			1																																																																																														
309	Sinkmarsh	0	130	1	Water			1																																																																																														
310	Lantern Fens	0	130	1	Water	1																																																																																																
311	Geyser	1	223	1	Water	1		1																																																																																														
312	Pearl Beach	1	64	1	Water					1				50																																																																																								
313	Waterfall	1	735	1	Water		1	1																																																																																														
314	Rockside Spring	0	4	1	Water			1	1																																																																																													
315	Well of Yesterdays Waters	1	735	1	Water			1		1																																																																																												
316	Corpse Candles' Marsh	0	130	1	Water			1			1																																																																																											
317	Overgrown Lake	1	223	1	Water			1				1																																																																																										
318	Lifeless Lake	1	735	1	Water						1																																																																																											
319	River Fortress	2	223	1	Water			1												3																																																																																		
320	Bottomless Lake	2	735	1	Water			1																																															20%																																															
321	Mist Swamps	1	130	1	Water		1	1																																																																																														
322	Academy of High Magics	2	223	1	Water			1					1						lab																																																																312	302																		
323	Frost Vale	2	4	2	Water			1													Cold																																																														309																			
324	Azure Academy	1	16607	1	Water			1											lab	3																																																															97	96																		
325	Rustwater	1	16607	1	Water	1		2	2																																																																																													
326	The Ferry	1	16607	1	Water			1			1																																																																																											
327	Mount Frost	1	16388	1	Water			2													Cold																												511	2																																																				
328	The Forest of the Lake	1	16386	1	Water			2				1																																																																																										
329	Stony Swamps	1	16514	1	Water				1																																																																																													
330	The Frozen Forest	1	16386	2	Water			3				1									Cold																																																														309																			
331	The Sea of the Tears of Men	2	16607	2	Water			2			2																																																																																											
332	The Water Sphere	1	16607	3	Water			3																																	W	2																																																												
333	The Great Mirror of Maaki	2	16607	3	Water		1	1		1																															*	1																																																												
334	The Sea Underneath	2	17119	4	Water			5																																																																																														
335	Temple of the Turning Tide	2	64	1	Water			1																																																20%																											529																			
336	Black Ice Valley	2	4	1	Water			1			1																																														20%																																													
337	Frozen Fountain	2	735	2	Water			3																																																																																														
338	Frozen Lands	2	223	0	Water			1													Cold																																																																																	
339	Academy of the Crescent Moon	2	16607	3	Water			2		2									lab																																																																999																			
340	Well of All Waters	2	16607	3	Water			3																																																												1																																		
341	The Swamp of Dread	2	16512	1	Water			1			2																																																																																											
342	The Sunless Sea	2	16904	3	Water			3																																																																																														
343	Healing Spring	2	223	2	Water			1				1																																																		10%																																								
344	Enchanted Well	0	735	1	Water			1																																																																																														
345	Icebrick Tower	1	223	1	Water			1																																																																																														
346	Steam Fountain	1	16	2	Water	1		1																																																																																														
347	Rain Ridge	1	4	2	Water		1	1																																																																																														
348	Meltwater Stream	1	4	2	Water			1	1																																																																																													
349	Moonlit Lake	1	4	2	Water			1		1																																																																																												
350	Oasis of the Dead	1	8	2	Water			1			1																																																																																											
351	Double Bottom Lake	1	2	2	Water			1				1																																																																																										
352	Merman Village	0	64	0	Water																																																																									1065					1067																			
353	Temple of the Sacred River	2	223	2	Water			1			1																																																																								1877	1878																		
354	Mineral Cave	0	607	1	Earth				1																																																																																													
355	Earth Blood Seepage	0	735	1	Earth				2																																																																																													
356	Firbolg Fortress	1	223	2	Earth				2											4																																																																																		
357	Iron Cliff	0	1023	3	Earth				1																																																																																													
358	Canyon of Sand	1	1023	0	Earth				1																																																																																													
359	Mine of Superior Iron	0	4	0	Earth										60																																																																																							
360	Great Iron Mine	0	516	0	Earth										100																																																																																							
361	Great Gold Mine	0	516	0	Earth									100																																																																																								
362	Great Silver Mine	0	516	0	Earth									60																																																																																								
363	Hidden Gold Mine	0	516	1	Earth									100																																																																																								
364	Gem Deposits	0	735	1	Earth									75																																																																																								
365	Gorge	0	516	1	Earth				1																																																																																													
366	Magma Cave	0	516	1	Earth	1			1																																																																																													
367	Standing Stones	1	223	1	Earth		1		1																																																																																													
368	Water Filled Cave	1	223	1	Earth			1	1																																																																																													
369	Chasm of Strange Lights	0	516	1	Earth				1	1																																																																																												
370	Cave of the Pale Ones	1	735	1	Earth				1		1																																																																			1465																								
371	Forest of Truffles	0	2	1	Earth				1			1																																																																																										
372	Entrance	2	735	1	Earth				1																																														20%																																															
373	Tower of the Iron Order	2	223	1	Earth				3	2									lab																																																																477																			
374	Tower of the Iron Order	2	223	1	Earth				2	3									lab																																																																477																			
375	Tower of the Iron Order	2	223	1	Earth				2	2									lab																																																																477																			
376	Academy of High Magics	2	223	1	Earth				1			1							lab																																																																312	302																		
377	Twice Walled Tower	2	223	1	Earth				1	1																																																																									344																			
378	Archaic Fortress	2	223	1	Earth															3																																																																																		
379	Lost Vale of the Elders	2	4	2	Earth				1			1																																																																							345																			
380	Troll Pit	2	735	2	Earth																																																																									518																								
381	Troglodyte Den	2	735	3	Earth				1																																																																					447																								
382	Runaway Pit	2	735	3	Earth				1	2																																																																																												
383	Steel Swamps	1	16512	0	Earth			1	1						30																																																																																							
384	White Man Hill	1	16607	0	Earth							1				100					Growth																																																																																	
385	The Forgotten Fortress	1	16607	2	Earth				3		1									3																																																																																		
386	The Jervellan Wall	1	16607	1	Earth															3																																																																																		
387	Ten Thousand Things	1	735	1	Earth	1	1	1	1			1																																																																																										
388	The Broken Maze	1	16607	2	Earth				2	1																																																																																												
389	The Labyrinth	1	16607	2	Earth				2	2																																																																				234																								
390	The Chasm of Black Roses	1	16388	3	Earth				1		2	1																																																																																										
391	The Underworld	1	17119	3	Earth				3																																																																					447					345																			
392	The Statues of the Overlords	2	16607	0	Earth																Order	Productivity																			E	2																																																												
393	The Cornerstone	2	16607	3	Earth				4	1											Order																																																																																	
394	The Factory	2	16607	4	Earth				3																																								532	1																																																				
395	Castle Arcanum	1	16477	1	Earth	1			1											4																																																															312	875																		
396	Ancient Forge	2	735	1	Earth				1																																																	20%																																												
397	Chamber of Changes	2	735	1	Earth				1																																															20%																																														
398	Standing Stones	2	735	1	Earth				1																																																		20%																																											
399	Conjurer's Cave	2	516	3	Earth				1																																														30%																																															
400	The Statue of the Sitting God	0	16607	2	Earth					1											Order																																						20%																																											
401	The Jade Pagoda	2	16607	1	Earth			1	1	1																																																																									1894	808																		
402	The Imperial Quarry	0	17407	1	Earth				1																																																																																													
403	Dolmen	1	17119	1	Earth				1																																																																																													
404	Forest of Golden Leaves	2	16386	0	Earth	1			1			1																																																																																										
405	The Vaults Beneath	2	16607	3	Earth				1						150																																																																																							
406	The Deepest Mine	2	16900	2	Earth				4																																																																																													
407	The Sun Below	2	16904	4	Earth	4																																																																																																
408	Endless Caverns	2	516	2	Earth			1	1																																																																																													
409	Glowing Caverns	2	516	2	Earth			1				2																																																																																										
410	The Mosaic Desert	2	16392	2	Earth	1	1		1																																																																										2245																			
411	Villa of Ever Changing Fresques	2	16400	2	Earth	1	1		1	1		1																																																																																										
412	Bear Mountain	2	16388	0	Earth				2																																																																																													
413	The Cliff of Seven Directions	2	16388	3	Earth				1	1											Magic																																																																																	
414	Enchanted Tower	0	223	1	Earth				1																																																																																													
415	Earthroot Tower	1	223	1	Earth				1																																																																																													
416	Sulphur Cliffs	1	8	2	Earth	1			1																																																																																													
417	Snowcap Mountain	1	4	2	Earth			1	1																																																																																													
418	Thundertop Mountain	1	4	2	Earth		1		1																																																																																													
419	Meteorite Cliffs	1	223	2	Earth				1	1																																																																																												
420	Iron Tomb	1	516	2	Earth				1		1																																																																																											
421	Rock Forest	1	2	2	Earth				1			1																																																																																										
422	Ctonian Gate	2	735	2	Earth				3																																																																																													
423	Library	1	223	0	Astral																																																																														478																			
424	Painted Cave	0	735	1	Astral					1																																																																																												
425	Maze	0	735	1	Astral					2																																																																																												
426	Monolith	1	223	2	Astral					2																																																																																												
427	Crystal Garden	0	735	3	Astral					1																																																																																												
428	Lake of Reflected Time	1	223	0	Astral					1																																																																																												
429	Strange Opening	1	735	1	Astral					2											Misfortune																																																																																	
430	Sages Guild	1	223	1	Astral					1									lab																																																																478																			
431	Abandoned Laboratory	1	735	1	Astral														lab																																																																																			
432	Crystal Flames	1	735	1	Astral	1				1																																																																																												
433	Mirror Palace	1	16607	1	Astral		1			1				25		25																																																																																						
434	Caves of Passing Time	1	735	1	Astral				1	1																																																																																												
435	Scrying Pool	2	735	1	Astral			1		1																																																										1																																		
