id	name	school	researchlevel	path1	pathlevel1	path2	pathlevel2	effect_record_id	effects_count	precision	fatiguecost	gemcost	next_spell	description	test
32	Mummification	-1	1	-1	0	-1	0	650	1	0	0	0	0	This spell will bring to life one prominent servant of the empire as a Mummy. Mummies are powerful undead beings that can command both the living and the undead.	
33	Summon Jinn	-1	1	-1	0	-1	0	651	1	0	0	0	0		
34	Ark	-1	1	-1	0	-1	0	652	1	0	0	0	0	This divine artifact will cause blindness and disease to fall upon all non-holy units.	
35	Area Chest Wound	-1	1	-1	0	-1	0	653	1	0	0	0	0		
36	10 Sea Trolls	-1	1	-1	0	-1	0	654	15	0	0	0	72		
37	15 Draconians	-1	1	-1	0	-1	0	655	15	0	0	0	0		
38	Court of Sprites	-1	1	-1	0	-1	0	656	15	0	0	0	0		
39	Heat Stun	-1	1	-1	0	-1	0	657	1	0	0	0	0		
40	Extra feeble mind battle field	-1	1	-1	0	-1	0	658	1	0	0	0	0		
41	Extra cold immunity	-1	1	-1	0	-1	0	659	1	0	0	0	0		
42	Minor Paralysis	-1	1	-1	0	-1	0	660	1	0	0	0	0		
43	extra limp	-1	1	-1	0	-1	0	661	1	0	0	0	44		
44	extra cripple	-1	1	-1	0	-1	0	662	1	0	0	0	0		
45	15 Ether Warriors	-1	1	-1	0	-1	0	663	15	0	0	0	0		
46	upto 20 farsummoned soulless	-1	1	-1	0	-1	0	664	20	0	0	0	0		
47	Entangle	-1	1	-1	0	-1	0	665	1	0	0	0	0		
48	ormflock	-1	1	-1	0	-1	0	666	5	0	0	0	0		
49	impflock	-1	1	-1	0	-1	0	667	10	0	0	0	0		
50	7 shades	-1	1	-1	0	-1	0	668	7	0	0	0	0		
51	3 beast bats	-1	1	-1	0	-1	0	669	3	0	0	0	0		
52	4 lions	-1	1	-1	0	-1	0	670	4	0	0	0	0		
53	10 wolves	-1	1	-1	0	-1	0	671	10	0	0	0	0		
54	cast returning	-1	1	-1	0	-1	0	672	1	0	0	0	0		
55	Grow Knight	-1	1	-1	0	-1	0	673	1	0	0	0	0		
56	Grow Lich	-1	1	-1	0	-1	0	674	1	0	0	0	0		
57	Scrying	-1	1	-1	0	-1	0	675	1	0	0	0	0	The scryer will be able to observe distant lands by the means of magic. The information gained by scrying is much more accurate than a normal scout can provide.	
58	petrify paralyze	-1	1	-1	0	-1	0	676	1	0	0	0	0		
59	Grow Headless Hoburg	-1	1	-1	0	-1	0	677	1	0	0	0	0		
60	5 War Trolls	-1	1	-1	0	-1	0	678	5	0	0	0	61		
61	2 Troll Moose Knight	-1	1	-1	0	-1	0	679	2	0	0	0	0		
62	...	-1	1	-1	0	-1	0	680	1	0	0	0	0		
63	...	-1	1	-1	0	-1	0	681	1	0	0	0	0		
64	...	-1	1	-1	0	-1	0	682	1	0	0	0	0		
65	Wolves	-1	1	-1	0	-1	0	683	3	0	0	0	0		
66	Battle Darkness	-1	1	-1	0	-1	0	684	1	0	0	0	0		
67	Beast Bats	-1	1	-1	0	-1	0	685	8	0	0	0	0		
68	Angels of the Choir	-1	1	-1	0	-1	0	686	9	0	0	0	69		
69	Harbingers of the Choir	-1	1	-1	0	-1	0	687	3	0	0	0	0		
70	Heat of Buer	-1	1	-1	0	-1	0	688	1	0	0	2	0		
71	Disbelieve	-1	1	-1	0	-1	0	689	1	0	0	0	0		
72	5 Troll Guards	-1	1	-1	0	-1	0	690	5	0	0	0	0		
73	Gate Summon Fire	-1	1	-1	0	-1	0	691	1	0	0	0	74		
74	Gate Summon Ice	-1	1	-1	0	-1	0	692	1	0	0	0	75		
75	Gate Summon Storm	-1	1	-1	0	-1	0	693	1	0	0	0	76		
76	Gate Summon Iron	-1	1	-1	0	-1	0	694	1	0	0	0	0		
77	10 Tengu Warriors	-1	1	-1	0	-1	0	695	10	0	0	0	78		
78	15 Karasu Tengus	-1	1	-1	0	-1	0	696	15	0	0	0	0		
79	Natural Rain	-1	1	2	0	-1	0	697	1	0	0	0	0	This spell creates a heavy rain upon the battlefield. This makes it harder to fly and the heat effects of Abysians and other hot creatures are severely reduced. Fire magic is more difficult to use during heavy rain, as all non-underwater Fire spells have their fatigue cost doubled.	
80	Open Soul Trap	-1	1	-1	0	-1	0	698	4	0	0	0	0		
81	Area10 cold dmg3	-1	1	-1	0	-1	0	699	1	0	0	0	0		
82	Cleansing Chime	-1	1	-1	0	-1	0	700	1	100	0	0	0		
83	Astral Geyser Blast	-1	1	-1	0	-1	0	701	1	0	0	0	0		
84	Chastisement	-1	1	-1	0	-1	0	702	1	0	0	0	0		
85	age ten years	-1	1	-1	0	-1	0	703	1	0	0	0	0		
86	age three years	-1	1	-1	0	-1	0	704	1	0	0	0	0		
87	6 Maenads	-1	1	-1	0	-1	0	705	6	0	0	0	0		
88	10 False Horrors	-1	1	-1	0	-1	0	706	10	0	0	0	0		
89	4 Wheels	-1	1	-1	0	-1	0	707	4	0	0	0	0		
90	4 Ditanu	-1	1	-1	0	-1	0	708	4	0	0	0	91		
91	Kill Caster	-1	1	-1	0	-1	0	709	1	0	0	0	0		
92	1 Horse-face	-1	1	-1	0	-1	0	710	1	0	0	0	0		
93	...	-1	1	-1	0	-1	0	711	1	0	0	0	0		
94	Astral Harpoon	-1	1	-1	0	-1	0	712	1	0	0	0	0		
95	Swarm	-1	1	-1	0	-1	0	713	30	0	0	0	0	The caster summons and transforms several dragonflies. The enlarged insects aren't very dangerous, but will surely disturb those they attack. If cast under water shrimps will appear instead.	
96	Sounder of Boars	-1	1	-1	0	-1	0	714	5	0	0	0	0	The caster, often a Gutuater, summons a sounder of Great Boars. Great Boars are almost as heavy as an ox and are sacred to the people of Marverni.	
97	Pack of Wolves	-1	1	-1	0	-1	0	715	5	0	0	0	0	The caster summons a pack of ferocious wolves and binds them to service.	
98	Grow Monster	-1	1	-1	0	-1	0	716	1	0	0	0	0		
99	15 Forest Trolls	-1	1	-1	0	-1	0	717	15	0	0	0	0		
100	earth grip	-1	1	-1	0	-1	0	718	1	0	0	0	0		
101	disease	-1	1	-1	0	-1	0	719	1	0	0	0	0		
102	Summon three vine men	-1	1	-1	0	-1	0	720	3	0	0	0	0		
103	Area Cripple	-1	1	-1	0	-1	0	721	1	0	0	0	0		
104	Area Battle Fright	-1	1	-1	0	-1	0	722	1	0	0	0	0		
105	Summon Imp Familiar	-1	1	-1	0	-1	0	723	1	0	0	0	0		
106	Record of Creation	-1	1	-1	0	-1	0	724	1	0	0	0	0		
107	Cave Collapse	-1	1	-1	0	-1	0	725	1	0	0	0	0		
108	Undead Horde	-1	1	-1	0	-1	0	726	15	-2	0	0	10		
109	Battlefield Limp	-1	1	-1	0	-1	0	727	1	0	0	0	44		
110	10 Great Olms	-1	1	-1	0	-1	0	728	10	0	0	0	0		
111	Summon Predatory Birds	-1	1	-1	0	-1	0	729	3	0	0	0	0		
112	Burning	-1	1	-1	0	-1	0	730	1	0	0	0	0		
113	...	-1	1	-1	0	-1	0	731	1	0	0	0	0		
114	...	-1	1	-1	0	-1	0	732	1	0	0	0	0		
115	...	-1	1	-1	0	-1	0	733	1	0	0	0	0		
116	...	-1	1	-1	0	-1	0	734	1	0	0	0	0		
117	...	-1	1	-1	0	-1	0	735	1	0	0	0	0		
118	...	-1	1	-1	0	-1	0	736	1	0	0	0	0		
119	...	-1	1	-1	0	-1	0	737	1	0	0	0	0		
120	...	-1	1	-1	0	-1	0	738	1	0	0	0	0		
121	...	-1	1	-1	0	-1	0	739	1	0	0	0	0		
122	...	-1	1	-1	0	-1	0	740	1	0	0	0	0		
123	...	-1	1	-1	0	-1	0	741	1	0	0	0	0		
124	...	-1	1	-1	0	-1	0	742	1	0	0	0	0		
125	...	-1	1	-1	0	-1	0	743	1	0	0	0	0		
126	...	-1	1	-1	0	-1	0	744	1	0	0	0	0		
127	...	-1	1	-1	0	-1	0	745	1	0	0	0	0		
128	...	-1	1	-1	0	-1	0	746	1	0	0	0	0		
129	...	-1	1	-1	0	-1	0	747	1	0	0	0	0		
130	...	-1	1	-1	0	-1	0	748	1	0	0	0	0		
131	...	-1	1	-1	0	-1	0	749	1	0	0	0	0		
132	...	-1	1	-1	0	-1	0	750	1	0	0	0	0		
133	...	-1	1	-1	0	-1	0	751	1	0	0	0	0		
134	...	-1	1	-1	0	-1	0	752	1	0	0	0	0		
135	...	-1	1	-1	0	-1	0	753	1	0	0	0	0		
136	...	-1	1	-1	0	-1	0	754	1	0	0	0	0		
137	...	-1	1	-1	0	-1	0	755	1	0	0	0	0		
138	...	-1	1	-1	0	-1	0	756	1	0	0	0	0		
139	...	-1	1	-1	0	-1	0	757	1	0	0	0	0		
140	...	-1	1	-1	0	-1	0	758	1	0	0	0	0		
141	...	-1	1	-1	0	-1	0	759	1	0	0	0	0		
142	...	-1	1	-1	0	-1	0	760	1	0	0	0	0		
143	...	-1	1	-1	0	-1	0	761	1	0	0	0	0		
144	...	-1	1	-1	0	-1	0	762	1	0	0	0	0		
145	...	-1	1	-1	0	-1	0	763	1	0	0	0	0		
146	...	-1	1	-1	0	-1	0	764	1	0	0	0	0		
147	...	-1	1	-1	0	-1	0	765	1	0	0	0	0		
148	...	-1	1	-1	0	-1	0	766	1	0	0	0	0		
149	...	-1	1	-1	0	-1	0	767	1	0	0	0	0		
150	Banishment	7	0	8	1	-1	0	768	1	0	0	0	0	With this prayer the priest can banish a large number of undead beings or demons. The undead will take damage unless they manage to resist the banishment.	
151	Blessing	7	0	8	1	-1	0	769	1	100	0	0	0	This prayer can be use to bless the priest or a group of sacred warriors. Blessed units receive increased morale and additional powers if their god is powerful enough to claim a divine title. For example, Fire gods bless their soldiers with battle prowess and gods of Nature bless their holy warriors with berserker rage. The blessing lasts the entire battle.	
152	Sermon of Courage	7	0	8	2	-1	0	770	1	100	0	0	0	Soldiers' morale is increased with the help of this prayer.	
153	Smite Demon	7	0	8	2	-1	0	771	1	100	0	0	0	This prayer will make a divine bolt strike down from the sky and deliver massive damage to a demon who fails to resist the spell. This prayer is a great compliment to banishment as it is much more powerful against single demons.	
154	Holy Avenger	7	0	8	2	-1	0	772	1	0	0	0	0	Any harm done to the casting priest will result in a divine bolt striking in the midst of the enemy.	
155	Divine Blessing	7	0	8	3	-1	0	773	1	100	0	0	0	This is the same as the Blessing prayer, except that it affects all holy units on the entire battlefield.	
156	Smite	7	0	8	3	-1	0	774	1	100	0	0	0	A divine bolt will strike down from the sky and kill a heathen.	
157	Fanaticism	7	0	8	4	-1	0	775	1	0	0	0	0	This prayer has the same effect as Sermon of Courage, but it affects all friendly units on the entire battlefield.	
158	Word of Power	7	0	8	4	-1	0	776	1	100	0	0	0	The priest utters a word most holy. The target is struck by divine power and paralyzed.	
159	Divine Channeling	7	0	8	5	-1	0	777	1	0	90	0	0	The priest channels the divine might of his god onto the battlefield. All friendly priests of low or medium power have their priest skill increased for the duration of the battle.	
160	Fire Flies	2	0	0	1	-1	0	778	6	-1	20	0	0	Six burning sparks shoot forth from the wizard's hand. The sparks have very limited armor penetration and will be ineffective against armored troops.	
161	Air Shield	1	0	1	1	-1	0	779	1	0	10	0	0	The air shield solidifies the air above the caster to protect him or her from incoming missiles.	
162	Freezing Touch	2	0	2	1	-1	0	780	1	0	10	0	0	The mage touches an enemy who will suffer from severe freezing damage, possibly even die from it. This is an effective spell because armor offers no protection against this quite potent attack. On the other hand, it might be very hard to actually touch an enemy in the heat of battle.	
163	Flying Shards	2	0	3	1	-1	0	781	2002	0	30	0	0	The caster hurls several stones towards enemy units. The shards are not very powerful, but can severely injure lightly armored units. The number of shards hurled depends on the skill of the caster.	
164	Twist Fate	1	0	4	1	-1	0	782	1	0	10	0	0	The caster changes his future fate. Twist Fate negates the first successful strike against the one protected by this spell.	
165	Hand of Dust	1	0	5	1	-1	0	783	1	0	10	0	0	The caster's left hand becomes deadly, able to turn anything it touches to ashes. The spell is limited in power but ignores armor.	
166	Sleep Touch	5	0	6	1	-1	0	784	1	0	10	0	0	By touching the target, the mage makes the target unnaturally tired.	
167	Bleed	6	0	7	1	-1	0	785	1	0	0	1	0	The Bleed spell causes blood to pour out of the victim's nose, ears and mouth. The effect is a prolonged and painful death. Magic resistance can negate the effect.	
168	Monster Boar	0	5	6	3	-1	0	786	1	0	0	10	0	The caster summons a monster boar and sends it to a distant province to ravage the land. The boar is a descendant of the monster boars sent by the Lady of the Hunt to ravage the farmlands of obnoxious peasants. The boar will cause unrest in the province until it is found and slain.	
169	Orgy	6	1	7	1	6	1	787	1	0	0	1	87	The reveler organizes a wild orgy in the woods with the sacrifice of a virgin as the climactic finale. The orgy will attract a satyr intent on uninhibited fornication. During the orgy six women will be struck by the madness of the wild, shedding all clothes and civilized manners and turning to the wild as raging maenads. The satyr will remain after the orgy to lure more women into the wild.	
170	Daughter of Typhon	0	9	6	5	5	2	788	1	0	0	30	0	The mage enters the misty swamps of Pythia to find the entrance to the underworld hidden there. Once there the mage will lure and bind the guardian of the gate to his service. The guardian is a beast of might and malice unequaled. She is the daughter of Typhon, Enemy of Gods, and Echidna, Mother of Monsters and her name is Hydra. Like her lesser kin, she has nine heads. However, her central head is blessed by her father and is immortal. Should it be cut off a new body will regrow from the stump within weeks. Hydra is sacred.	
171	...	-1	1	-1	0	-1	0	789	1	0	0	0	0		
172	Sounder of Boars	0	3	6	2	-1	0	790	20	0	0	20	0	The caster, often a Gutuater, summons a sounder of Great Boars. Great Boars are almost as heavy as an ox and are sacred to the people of Marverni.	
173	Contact Boar of Carnutes	0	5	6	1	3	1	791	1	0	0	7	0	The caster summons one of the Great Boars of Carnutes. These magnificent beasts live in the depths of the sacred forest. They occasionally emerge from the depths of the forest to inspect the sacred grove of the Druids. Such appearances are rare and considered important omens. Its mere presence is said to prevent bad events. The Great Boar of Carnutes is the king of all boars and ordinary boars will constantly emerge from the forests to follow the Great Boar of Carnutes. It is sacred to the people of Marverni.	
174	Contact Huli Jing	0	6	6	2	-1	0	792	1	0	0	30	0	The Huli Jing is a fox spirit. It has the appearance of a silvery fox with many tails. It is magically powerful and is able to take the appearance of a beautiful woman. The Huli Jing is a trickster and often whimsical or even mischievous in nature. In human guise, it might play pranks on unsuspecting travelers, aid lowborn peasants to greatness or plot the rise or downfall of kingdoms. Huli Jing are stealthy and in human guise have the abilities of a spy. All Huli Jing are powerful mages of Nature, but most have other magic skills as well.	
175	Thousand Year Ginseng	3	5	6	1	-1	0	793	1	0	0	8	0	The mystics and hermits of T'ien Ch'i have always been obsessed with longevity. During the Time of the Bureaucracy and the prevalence of herbal medicine, one means to this end was found. The Thousand Year Ginseng will give the imbiber longevity and good health and is the closest to immortality one can come without practicing Internal Alchemy. Each casting of the spell deducts 5 years of age.	
176	Internal Alchemy	1	5	2	2	4	1	794	1	0	0	10	0	The mystics and hermits of T'ien Ch'i have always been obsessed with longevity. Internal Alchemy is a method to transmute the inner self instead of external substances. Meditation, severe asceticism and breathing techniques are used to access the inner cinnabar fields in an attempt to alter them. Often the alchemist feeds on cinnabar, transmuted quicksilver, the most highly regarded alchemical substance, during the process. The transformative nature of the cinnabar might also transmute the mind of the hermit. Each casting of the spell deducts 15 years of age.	
177	End of Culture	5	6	0	2	-1	0	795	1	0	0	1	0	All Oni on the battlefield shed their last traces of civilization and enter a state of frenzied battle rage.	
178	End of Weakness	1	6	3	2	-1	0	796	1	0	0	1	0	All Oni on the battlefield are enchanted with the strength of the Underworld and their bodies take on a wooden durability.	
179	Teaching Sign	7	0	8	1	6	1	797	1	0	0	0	0	The monks of Jomon have for centuries used five hand gestures representing the five peaceful aspects of the Lord. The teaching sign allows the monk to use the pure knowledge of the divine principle, increasing his esoteric skills.	
180	Fear-not Sign	7	0	8	1	1	1	798	1	100	0	0	0	The monks of Jomon have for centuries used five hand gestures representing the five peaceful aspects of the Lord. The fear not sign allows the monk to reach out to the unwary with the comfort of the divine calm. Projectiles will also harmlessly fall to the ground around the comforted ones.	
181	Welcome Sign	7	0	8	1	0	1	799	1	100	0	0	0	The monks of Jomon have for centuries used five hand gestures representing the five peaceful aspects of the Lord. The welcoming sign allows the monk to reach out to the unwary with the comfort of the divine hearth. Enemies that perceives the gesture abandon their misdirected allegiances and turn their efforts to the true Lord.	
182	Earth-touching Sign	7	0	8	1	3	1	800	1	100	0	0	0	The monks of Jomon have for centuries used five hand gestures representing the five peaceful aspects of the Lord. The Earth-touching sign allows the monk to defeat the evils of other worlds with the divine principle of the earth.	
183	Meditation Sign	7	0	8	1	2	1	801	1	0	0	0	0	The monks of Jomon have for centuries used five hand gestures representing the five peaceful aspects of the Lord. The meditation sign allows the monk to focus his mind on the divine principle and purify his spirit from weariness.	
184	Summon Shikome	0	4	5	2	-1	0	802	8	0	0	8	0	The shikome are hags of the underworld. They are sent to hunt down those who tries to escape the land of the dead. They appear as mad, starving hags with claws and pointy teeth. Their claws are able to harm and incapacitate ghosts and spirits. Shikome are never given food by their cruel lords and they all have an insatiable appetite for the food of the living. They take every opportunity to feast on flesh or fruits unavailable to them in the halls of the underworld. Shikome are the personal servants of the lords of the underworld and are revered by the oni.	
185	Contact Jigami	0	4	6	1	-1	0	803	1	0	0	10	0	The Shugenja contacts and strikes a bargain with a Jigami, a kami of the farms and fields. They protect villages and farms in rural areas and have powers over fertility and growth. They are not powerful enough to influence entire provinces, but their presence yield food and supplies in the area.	
186	Contact Mori-no-kami	0	5	6	3	-1	0	804	1	0	0	21	0	The Shugenja contacts and strikes a bargain with a Mori-no-kami, a god of the Jomonese forests. They tend to be boisterous and haughty, but sometimes take a liking to human visitors. Skillful archers who allow themselves to be defeated by the kami in archery contests might even be rewarded by the god. They rule their forests and everything that lives within. They can summon wild beasts to aid them in battles. Mori-no-kami will shrink and lose power if they leave their forest.	
187	Summon Ujigami	0	5	3	1	4	1	805	1	0	0	8	0	The caster summons an Ujigami from the spirit world. An Ujigami is the ancestral kami of a Jomonese clan. It manifests as a mighty warrior, a great general and a priest of the ancestral spirits. As a manifestation of a clan Ujigami are closely connected to the welfare of the people and they have a slight chance of preventing bad events. Ujigami lose some of their priestly authority if they leave their ancestral home.	
188	Contact Kaijin	0	5	2	3	-1	0	806	1	0	0	25	0	The caster contacts a Kaijin and convinces it to serve the Lord. Kaijin are kami of the sea. They appear as noblemen in sea-colored silken robes. They wield mighty yaris and enchanted nets that can trap even the strongest opponents. Kaijin are mighty mages of water, but they lose some of their powers when they leave their watery realms. The Kaijin do not serve the dragon kings and have long fought the Ryujin for dominance of the deeps.	
189	Contact Tatsu	0	6	3	3	-1	0	807	1	0	0	19	0	The shugenja ventures up into a mountainous region and makes contact with a tatsu. The tatsu is a lesser Jomonese dragon. It has a sinuous body and resembles the great Dragons of the sea, but it only has three claws on its feet. It is covered in iridescent scales and spines run along its back. Its head resemble a camel with horns of a stag and the eyes of a demon. Under its chin is a burning pearl that is the source of its power. If they lose the pearl they lose their power of flight. All tatsu have magic skills and each follow one of the Five Paths.	
190	Summon Kenzoku	0	6	4	1	3	1	808	1	0	0	9	0	The caster summons a Kenzoku from the spirit world. Kenzoku are noble warrior-kami of great prowess. Once human, they were rewarded with immortality for their deeds. Kenzoku are popular kami among the samurai. They fight with magic swords sprung from their martial essence and are surrounded by a divine aura that intimidates lesser beings.	
191	Summon Gozu Mezu	0	6	5	3	-1	0	809	1	0	0	7	92	The caster opens a gate to the underworld and calls forth a pair of demon jailers and torturers of the dead, Ox-head and Horse-face. They are mighty warriors armed with enchanted pole arms that trap souls.	
192	Contact Yama-no-kami	0	7	3	4	-1	0	810	1	0	0	28	0	The Shugenja contacts and strikes a bargain with a Yama-no-kami, a mountain god and protector of the wild. They are powerful spirits as cold as the peaks they rule. Only rarely do they concern themselves with lesser beings. They command natural phenomena, weather and beasts in their realms, and might help or destroy the occasional wanderer. Yama-no-kami very rarely leave their lofty abodes and would lose much of their powers if they did.	
193	Summon Abysian Ancestors	0	2	5	1	0	1	811	5	0	0	5	0	The Anathemant summons the spirits of ancient Abysian warriors. These spirits are surrounded by ethereal flames and are sacred to the humanbred population.	
194	Reawaken Fossil	4	5	3	2	5	1	812	1003	0	0	10	0	Abysian mages have recently discovered a gorge near the borders of Gath, where ancient magic has been uncovered by eroding winds and a mighty earthquake. Huge bones were found protruding from the very stone. Legends of the glorious victory against the Rephaim were remembered and soon the Abysian mages were trying to reawaken the fossilized giants once defeated by fire in the valley of Megiddo.	
195	Summon Spectral Infantry	0	2	5	1	0	1	813	5	0	0	5	0	This spell will summon the spirits of a few formidable Abysian warriors who have died in battle. These spirits are called Smoulderghosts and are even fiercer fighters now that they have died.	
196	Contact Scorpion Man	0	8	3	1	0	1	814	1	0	0	12	0	The Scorpion Man is the most frightening beast that wanders the desert. It is said that when a scorpion man looks at a mountain, the mountain shivers in fear.	
197	Inner Furnace	4	5	0	3	-1	0	815	1	0	0	1	0	The caster invokes the power of Rhuax to strengthen the heat burning in every Abysian. All soldiers on the battlefield have the area of their heat effect increased.	
198	Summon Simargl	0	2	1	1	-1	0	816	1	0	0	1	0	The caster summons a Simargl. The Simargl is a strange winged dog from the lands of Rus. It is sometimes summoned by mages to aid in hunts and patrols.	
199	Summon Firebird	0	3	0	1	4	1	817	1	0	0	2	0	The caster summons a Firebird. The Firebird is a legendary bird with a brightly glowing plumage. It lives in the far wilderness of Rus and is often sought by heroes for its ability to bring good fortune.	
200	Send Lady Midday	0	5	1	1	5	1	818	1	0	0	10	0	The Lady Midday is a malign spirit of the noon. She appears as a young girl surrounded by whirling dust and armed with a scythe that stinks of disease. Sometimes she will stop people and ask them a question. Failure to answer results in her displeasure and she will use her scythe to disease or chop off the head of the victim. The caster of this ritual will contact the spirit and force it to appear in a suitable province where it will serve by eliminating enemies. 	
201	Contact Sirin	0	3	4	2	-1	0	819	1	0	0	8	0	The caster contacts a Sirin and persuades it to aid him. The Sirin is a magical half-woman, half-bird of Rus. It has the head and chest of a woman and the body and lower parts of a dark bird. The Sirin is a most sinister being. It can speak with the voice of saints and entice men, tell them of future fortunes and lure them into lifelong slavery.	
202	Send Vodyanoy	0	4	2	2	-1	0	820	1	0	0	20	0	The caster summons and sends a Vodyanoy to a distant sea province. This ritual can be cast on land. The Vodyanoy is a water spirit that resembles a man with the lower parts of a fish. It is covered in black fish-scales, algae and mud. Vodyanoy generally dislike humans and can only be coerced into servitude with the aid of magic. They are powerful users of Water magic, but cannot leave the water.	
203	Summon Rusalka	0	4	2	1	5	1	821	1	0	0	16	0	The caster approaches a river or lake where a young maiden has drowned herself and summons her dead spirit. The Rusalka is the spirit of a young woman that committed suicide by drowning herself after being scorned by her lover. She must now haunt the waterway where she took her life. The Rusalka has the appearance of a young, pale and beautiful naked woman with green eyes and green perpetually wet hair. The Rusalka is not necessarily malevolent, but she likes living men and will come out of the water at night to climb a tree and sit there singing and combing her hair, anticipating unwary wanderers to snare with her songs. Handsome passersby will be invited to join her in singing and dancing and will be brought into the watery abode of the Rusalka. The Rusalka has some skills in Water and Death magic and is able to bring her companions with her under the waves.	
204	Summon Likho	0	4	5	1	-1	0	822	1	0	0	10	0	The caster summons a crone of misfortune. She appears as an one-eyed old hag in dark robes. Her mere presence will cause ill fortune and misery. Her evil eye will curse those she gazes upon.	
205	Contact Alkonost	0	4	4	2	-1	0	823	1	0	0	15	0	The caster contacts a Alkonost and persuades it to aid him. The Alkonost is a magical half-woman, half-bird of Rus. it has the head and chest of a woman and the body and lower parts of a bird. It is a bird of the Paradise gifted with the voice of saints. It is a powerful priest and will inspire men to bravery.	
206	Summon Zmey	0	5	0	2	-1	0	824	1	0	0	8	0	The caster summons a Zmey. The Zmey is a three headed dragon capable of breathing flames. It is larger than a wyvern, but smaller than a true dragon. It is indigenous to the lands of Rus and can be summoned by Fire mages.	
207	Send Bukavac	0	5	2	4	-1	0	825	1	0	0	5	0	The caster summons and sends a Bukavac to a wreak havoc in a distant sea province. This ritual can be cast on land. The Bukavac is a huge and horrible water being with a frightening call and six tentacle-like legs. It lives in the murky lakes of Rus, but is known to wreak havoc in coastal seas, perhaps guided by malign magic.	
208	Contact Gamayun	0	5	4	3	-1	0	826	1	0	0	25	0	The caster contacts a Gamayun and persuades it to aid him. The Gamayun is a magical half-woman, half-bird of Rus. It has the head and chest of a woman and the body and lower parts of a bird. It is a bird of wisdom and prophecy gifted with the knowledge of saints. It has magical skills as well as prophetic ones and is sometimes summoned to reveal magical secrets.	
209	Contact Beregina	0	6	2	3	3	1	827	1	0	0	35	0	The caster approaches a shore or riverbank and tries to contact a Beregina. The Beregina is a spirit of the shore, where water meets land. Bereginy manifest themselves as incredibly beautiful women. Few mortals would dream of harming a Beregina. They are powerful mages of Water, but are also skilled in magic of the land. The Bereginy are able to bring a few companions with them under the waves.	
